instId,result
BCH-USDT-SWAP,SL
BCH-USDT-SWAP,SL
SOL-USDT-SWAP,SL
ETH-USDT-SWAP,TP
BCH-USDT-SWAP,TP
SOL-USDT-SWAP,TP
BTC-USDT-SWAP,TP
SUI-USDT-SWAP,TP
AVAX-USDT-SWAP,TP
LINK-USDT-SWAP,TP
DOGE-USDT-SWAP,TP
ADA-USDT-SWAP,TP
SOL-USDT-SWAP,TP
ETH-USDT-SWAP,SL
ETH-USDT-SWAP,SL
SUI-USDT-SWAP,TP
LINK-USDT-SWAP,TP
DOGE-USDT-SWAP,TP
BTC-USDT-SWAP,OUT
SOL-USDT-SWAP,OUT
BNB-USDT-SWAP,OUT
XRP-USDT-SWAP,OUT
AVAX-USDT-SWAP,OUT
APT-USDT-SWAP,OUT
BCH-USDT-SWAP,OUT
ADA-USDT-SWAP,OUT
BTC-USDT-SWAP,SL
ETH-USDT-SWAP,SL
XRP-USDT-SWAP,SL
